,molecule_id,mutated_before,well_id,leftUID,rightUID,id0,UID_left_mutation,UID_right_mutation
292,0,False,0,15432,15432,28961,0,0
293,0,False,0,7729,7729,29067,0,0
294,0,False,0,1932,30919,29070,0,0
295,0,False,0,968,30988,29208,0,0
296,0,False,0,15504,15504,29249,0,0
297,0,False,0,3881,3881,29335,0,0
298,0,False,0,15530,15530,29353,0,0
299,0,False,0,121,31100,29432,0,0
300,0,False,0,3889,3889,29463,0,0
301,0,False,0,7814,7814,29747,0,0
302,0,False,0,15701,15701,30037,0,0
303,0,False,0,245,31408,30048,0,0
304,0,False,0,1966,1966,30159,0,0
305,0,False,0,15789,15789,30389,0,0
306,0,False,0,7914,7914,30547,0,0
307,0,False,0,7924,31697,30626,0,0
308,0,False,0,3963,3963,30647,0,0
309,0,False,0,15868,15868,30705,0,0
310,0,False,0,15872,15872,30721,0,0
311,0,False,0,496,31774,30780,0,0
312,0,False,0,15908,15908,30865,0,0
313,0,False,0,1992,1992,30991,0,0
314,0,False,0,7988,31953,31138,0,0
315,0,False,0,499,31964,31160,0,0
316,0,False,0,499,31967,31166,0,0
317,0,False,0,8010,32041,31314,0,0
318,0,False,0,16023,16023,31325,0,0
319,0,False,0,16090,16090,31593,0,0
320,0,False,0,4023,32186,31604,0,0
321,0,False,0,1008,1008,31775,0,0
322,0,False,0,8068,32273,31778,0,0
323,0,False,0,507,32479,32190,0,0
324,0,False,0,1015,32492,32216,0,0
325,0,False,0,16254,16254,32249,0,0
326,0,False,0,8133,8133,32299,0,0
327,0,False,0,4070,4070,32359,0,0
328,0,False,0,16291,16291,32397,0,0
329,0,False,0,509,32592,32416,0,0
330,0,False,0,16325,16325,32533,0,0
331,0,False,0,1021,32684,32600,0,0
332,0,False,0,255,32702,32636,0,0
333,0,False,0,4088,4088,32647,0,0
334,1,False,0,8201,8201,37,0,0
335,1,False,0,1026,16422,76,0,0
336,1,False,0,2062,16499,230,0,0
337,1,False,0,259,259,447,0,0
338,1,False,0,8374,8374,729,0,0
339,1,False,0,525,16814,860,0,0
340,1,False,0,526,16844,920,0,0
341,1,False,0,1053,16852,936,0,0
342,1,False,0,1054,16868,968,0,0
343,1,False,0,2120,16963,1158,0,0
344,1,False,0,530,16972,1176,0,0
345,1,False,0,4245,16981,1194,0,0
346,1,False,0,8491,8491,1197,0,0
347,1,False,0,1066,17063,1358,0,0
348,1,False,0,2136,17090,1412,0,0
349,1,False,0,4284,17137,1506,0,0
350,1,False,0,8585,8585,1573,0,0
351,1,False,0,134,17200,1632,0,0
352,1,False,0,540,17292,1816,0,0
353,1,False,0,8660,8660,1873,0,0
354,1,False,0,8673,8673,1925,0,0
355,1,False,0,1085,17367,1966,0,0
356,1,False,0,8693,8693,2005,0,0
357,1,False,0,1097,1097,2351,0,0
358,1,False,0,4391,4391,2363,0,0
359,1,False,0,1099,1099,2415,0,0
360,1,False,0,8826,8826,2537,0,0
361,1,False,0,4424,17697,2626,0,0
362,1,False,0,553,17711,2654,0,0
363,1,False,0,554,554,2719,0,0
364,1,False,0,1109,1109,2735,0,0
365,1,False,0,2220,17762,2756,0,0
366,1,False,0,2236,17890,3012,0,0
367,1,False,0,4481,17925,3082,0,0
368,1,False,0,140,17976,3184,0,0
369,1,False,0,281,18012,3256,0,0
370,1,False,0,281,281,3263,0,0
371,1,False,0,4506,4506,3283,0,0
372,1,False,0,1132,18118,3468,0,0
373,1,False,0,9090,9090,3593,0,0
374,1,False,0,9093,9093,3605,0,0
375,1,False,0,2283,18267,3766,0,0
376,1,False,0,2296,2296,3975,0,0
377,1,False,0,9190,9190,3993,0,0
378,1,False,0,4601,4601,4043,0,0
379,1,False,0,9234,9234,4169,0,0
380,1,False,0,577,18478,4188,0,0
381,1,False,0,9283,9283,4365,0,0
382,1,False,0,9290,9290,4393,0,0
383,1,False,0,145,18592,4416,0,0
384,1,False,0,4673,18693,4618,0,0
385,1,False,0,146,18720,4672,0,0
386,1,False,0,586,18760,4752,0,0
387,1,False,0,2348,18787,4806,0,0
388,1,False,0,2365,2365,5079,0,0
389,1,False,0,1184,1184,5135,0,0
390,1,False,0,9548,9548,5425,0,0
391,1,False,0,298,19100,5432,0,0
392,1,False,0,4779,19117,5466,0,0
393,1,False,0,9584,9584,5569,0,0
394,1,False,0,2406,19250,5732,0,0
395,1,False,0,9629,9629,5749,0,0
396,1,False,0,9662,9662,5881,0,0
